NomeCandidato;NomeFornecedor;Valor;Descricao
CADMIEL JOSE ARAUJO BOMFIM;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1126,6;DOAÌàAO DE 200 MIL SANTINHOS A R$ 0åá01 A UNIDADE
ANTONIO CARLOS SOUZA DE OLIVEIRA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS
HELDER DE FREITAS MOREIRA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàÌÄO DE 100 MIL SANTINHOS A R$ 0åá005633 A UNIDADE
EDINEIDE LIMA DA SILVA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàAO DE 100 MIL SANTINHOS
HERALDO BEZERRA DA SILVA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS
MARIA CLEONICE MACIEL DA CUNHA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS
CARLOS ALBERTO NOGUEIRA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;563,3;DOAÌàÌÄO DE 100 MIL SANTINHOS PARA PUBLICIDADE DE CAMPANHA
CIRIO CESAR SILVA DE ALMEIDA;ELEICAO 2014 ILDERLEI SOUZA RODRIGUES CORDEIRO DEPUTADO FEDERAL;1000;DOAÌàAO DE 100 MIL SANTINHOS
SIDNEY DIAS DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;30 MIL SANTINHOS
SIDNEY DIAS DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;374;SANTINHOS 
JACIARA DE SOUSA RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1866,67;DOAÌàÌÄO DE 116.667 SANTINHOSåá VALOR UNIT. 0åá016åá REFERENTE A NF 89
JACIARA DE SOUSA RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;586,67;DOAÌàÌÄO DE 26.667 SANTINHOSåá VALOR UNIT 0åá022åá REFERENTE A NF 84
JACIARA DE SOUSA RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1466,67;DOAÌàÌÄO DE 66.667 SANTINHOSåá VALOR UNT 0åá022åá REFERENTE A NF 85
JACIARA DE SOUSA RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;2529,6;DOAÌàÌÄO DE 158.100 SANTINHOSåá AVLOR UNIT. 0åá016åá REFERENTE A NF 17
JACIARA DE SOUSA RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;DOAÌàÌÄO DE 30.000 SANTINHOSåá VALOR UNIT. 0åá016åá REFERENTE A NF 22
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1088;DOAÌàÌÄO DE 68.000 SANTINHOS
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1276;DOAÌàÌÄO DE 58.000 SANTINHOS
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1952;DOAÌàÌÄO DE 122.000 SANTINHOS 
